# Epoch [d], NII_percentage, NII_percentage_sig
1.650000000000000000e+02,5.705453235356008790e+00,3.759078756640394370e-01
1.700000000000000000e+02,5.289515194463493053e+00,2.904796061094734871e-01
1.910000000000000000e+02,4.445668865241363399e+00,9.237795841459228718e-01
2.310000000000000000e+02,5.627231155470256319e+00,4.836675870438981728e-01
2.490000000000000000e+02,4.668459371743923114e+00,5.818013031272553093e-01
2.540000000000000000e+02,5.427588966968433404e+00,7.177640183352727021e-01
2.590000000000000000e+02,4.840021912578154506e+00,5.973988060678334655e-01
