# Epoch [d], NII_percentage, NII_percentage_sig
1.710000000000000000e+02,6.309836242934785844e+00,1.636449883137709005e+00
2.220000000000000000e+02,1.000692302356775443e+01,8.168310857694202065e-01
2.240000000000000000e+02,1.043397561899685222e+01,6.781572376438033123e-01
3.450000000000000000e+02,1.364790902258033434e+01,1.455059202803974161e+00
