# Epoch [d], NII_percentage, NII_percentage_sig
2.730000000000000000e+02,5.362964904261462884e+00,1.688262714912107665e+00
3.020000000000000000e+02,5.257297352779596089e+00,1.212424104577181749e+00
3.060000000000000000e+02,5.020713262699253221e+00,1.010475532604778959e+00
