# Wavelength [Å], Flux [10**-15 erg s-1 cm-2]
3.955165201497137787e+03,2.343416969836529685e-18
3.958442364805308443e+03,8.982563820889151614e-19
3.961719528113479555e+03,4.084346726149636209e-18
3.964996691421650212e+03,4.889876266620880303e-18
3.968273854729831783e+03,2.182800031491952157e-18
3.971551018038002439e+03,2.743621187356305348e-18
3.974828181346173551e+03,4.113273120057924063e-18
3.978105344654344208e+03,4.046118362240797772e-18
3.981382507962515774e+03,3.847180408499437461e-18
3.984659671270686431e+03,2.915624354670958519e-18
3.987936834578857543e+03,4.485461594684635655e-18
3.991213997887028654e+03,3.889951711972087392e-18
3.994491161195199766e+03,2.285500699238776667e-18
3.997768324503370422e+03,2.503225537588010116e-18
4.001045487811551084e+03,1.682757528302997267e-18
4.004322651119722650e+03,2.560918735302801115e-18
4.007599814427893307e+03,3.718607287066605945e-18
4.010876977736064418e+03,2.040420139501800599e-18
4.014154141044235075e+03,4.549850256564850356e-18
4.017431304352406642e+03,3.914651742941733031e-18
4.020708467660577298e+03,4.255773917588352674e-18
4.023985630968748410e+03,2.791387194279991032e-18
4.027262794276919522e+03,2.650549744999094727e-18
4.030539957585090633e+03,3.755588078411090673e-18
4.033817120893271294e+03,4.385203689588875180e-18
4.037094284201442406e+03,2.844992449319000673e-18
4.040371447509613517e+03,3.556207935061866554e-18
4.043648610817784174e+03,3.557142055813024963e-18
4.046925774125955286e+03,3.002548746454614975e-18
4.050202937434125943e+03,2.966661244793390741e-18
4.053480100742297509e+03,3.135755502685907740e-18
4.056757264050468166e+03,5.096158125606780905e-18
4.060034427358649737e+03,4.458116320516302849e-18
4.063311590666820393e+03,3.192604198948523037e-18
4.066588753974991505e+03,3.909457052604082514e-18
4.069865917283162162e+03,4.306452818666225430e-18
4.073143080591333273e+03,3.023824259746324243e-18
4.076420243899503930e+03,5.133667596628748982e-18
4.079697407207675042e+03,5.473333456401074295e-18
4.082974570515846608e+03,4.692598246800844377e-18
4.086251733824017720e+03,4.571224135437209056e-18
4.089528897132188376e+03,3.587374692784263164e-18
4.092806060440369038e+03,4.219041097911285152e-18
4.096083223748540149e+03,2.970257440786980184e-18
4.099360387056711261e+03,2.909632653639452998e-18
4.102637550364881463e+03,2.394510925286709676e-18
4.105914713673053484e+03,2.164334274225753876e-18
4.109191876981224596e+03,2.935339936619024702e-18
4.112469040289395707e+03,2.910818950215243954e-18
4.115746203597565909e+03,2.395901975408040398e-18
4.119023366905747025e+03,3.157495794692345769e-18
4.122300530213918137e+03,3.567662577673982346e-18
4.125577693522089248e+03,3.126829946713791871e-18
4.128854856830259450e+03,2.261148865731925591e-18
4.132132020138431471e+03,2.585966878272648441e-19
4.135409183446602583e+03,6.848828381566505641e-19
4.138686346754773695e+03,1.245796092522400773e-18
4.141963510062943897e+03,9.692578191974570147e-19
4.145240673371115008e+03,2.674307295215719072e-18
4.148517836679286120e+03,1.957807418580461006e-18
4.151794999987466326e+03,1.086489124026631221e-18
4.155072163295638347e+03,3.266870034808696920e-18
4.158349326603809459e+03,4.303403222689461462e-18
4.161626489911980570e+03,1.988822065183266340e-18
4.164903653220150773e+03,1.695622187153092934e-18
4.168180816528321884e+03,2.922813698710802117e-18
4.171457979836492996e+03,4.367575005469651485e-18
4.174735143144664107e+03,3.928895565358624975e-18
4.178012306452845223e+03,3.350877507352144951e-18
4.181289469761016335e+03,3.392513460824326788e-18
4.184566633069187446e+03,3.994941028401677561e-18
4.187843796377358558e+03,2.947408251693472152e-18
4.191120959685528760e+03,2.662408036339414672e-18
4.194398122993699872e+03,1.754782405847183918e-18
4.197675286301870983e+03,1.074539046346643000e-18
4.200952449610041185e+03,3.366667726797498350e-18
4.204229612918213206e+03,4.081086308447126597e-18
4.207506776226394322e+03,3.625158020787557469e-18
4.210783939534565434e+03,4.347764969925017945e-18
4.214061102842735636e+03,4.134974198077556365e-18
4.217338266150906747e+03,2.267374932400338356e-18
4.220615429459077859e+03,2.272952335077936388e-18
4.223892592767248971e+03,3.815961222634193715e-18
4.227169756075420082e+03,3.412387915247171460e-18
4.230446919383591194e+03,3.171694658010743127e-18
4.233724082691762305e+03,2.467805010176148850e-18
4.237001245999933417e+03,3.929001275865277109e-18
4.240278409308113623e+03,2.488027447256235476e-18
4.243555572616284735e+03,1.910877862331718347e-18
4.246832735924455847e+03,3.227746502919646431e-18
4.250109899232626958e+03,4.708724863720566542e-18
4.253387062540798070e+03,3.309595251760486885e-18
4.256664225848969181e+03,1.974390412960607241e-18
4.259941389157140293e+03,3.843009344556905615e-18
4.263218552465310495e+03,2.774209878627426489e-18
4.266495715773481606e+03,3.119167810226089133e-18
4.269772879081662722e+03,2.819499210387834093e-18
4.273050042389833834e+03,3.298251257919066788e-18
4.276327205698004946e+03,2.406481990969827354e-18
4.279604369006176057e+03,1.532415252195625904e-18
4.282881532314347169e+03,1.937694045499002879e-18
4.286158695622518280e+03,3.346542993754002412e-18
4.289435858930688482e+03,2.461726780326758140e-18
4.292713022238859594e+03,2.908625458031884113e-18
4.295990185547040710e+03,3.334565423117714253e-18
4.299267348855211822e+03,2.928021112573217864e-18
4.302544512163382933e+03,3.835181066122894471e-18
4.305821675471554045e+03,3.674301340998221895e-18
4.309098838779725156e+03,2.762884972523616211e-18
4.312376002087895358e+03,2.190178975704494624e-18
4.315653165396066470e+03,3.119495642688914522e-18
4.318930328704237581e+03,3.000851310573602379e-18
4.322207492012409602e+03,3.591972631191068505e-18
4.325484655320579805e+03,2.624221029528796655e-18
4.328761818628760921e+03,2.971061770656010146e-18
4.332038981936932032e+03,2.976492680453669369e-18
4.335316145245103144e+03,2.697212351172720316e-18
4.338593308553273346e+03,3.074966942340456360e-18
4.341870471861444457e+03,4.356971218061807401e-18
4.345147635169615569e+03,3.551728680638806683e-18
4.348424798477787590e+03,2.204706206441569410e-18
4.351701961785957792e+03,2.249376132282477347e-18
4.354979125094138908e+03,3.380718221461936006e-18
4.358256288402310020e+03,2.763576207150685430e-18
4.361533451710480222e+03,4.073297715058288727e-18
4.364810615018651333e+03,2.900401545115942814e-18
4.368087778326822445e+03,4.193042377141382830e-18
4.371364941634994466e+03,3.059748733569357070e-18
4.374642104943164668e+03,3.050402064562086080e-18
4.377919268251335779e+03,1.905378880126989213e-18
4.381196431559506891e+03,2.836985274098593516e-18
4.384473594867688007e+03,3.288247138101628661e-18
4.387750758175858209e+03,2.430980801534423035e-18
4.391027921484029321e+03,2.869986826906747278e-18
4.394305084792201342e+03,3.553642756101375757e-18
4.397582248100371544e+03,3.544027818717017587e-18
4.400859411408542655e+03,3.246019181877245290e-18
4.404136574716713767e+03,2.399639669571379581e-18
4.407413738024884879e+03,3.005845640907241576e-18
4.410690901333055081e+03,2.355331862549742422e-18
4.413968064641226192e+03,3.493315844142497249e-18
4.417245227949397304e+03,3.220115050186319972e-18
4.420522391257579329e+03,3.960805935382962565e-18
4.423799554565749531e+03,3.314346397034806822e-18
4.427076717873920643e+03,2.974773906924254046e-18
4.430353881182091754e+03,3.358977631817129043e-18
4.433631044490262866e+03,2.372649325552222035e-18
4.436908207798433068e+03,2.439570851163095442e-18
4.440185371106604180e+03,2.466825996447374793e-18
4.443462534414776201e+03,3.518256288634222641e-18
4.446739697722956407e+03,3.625285754999090042e-18
4.450016861031127519e+03,2.676666398127981391e-18
4.453294024339298630e+03,2.937771641117640150e-18
4.456571187647469742e+03,2.946406457765441273e-18
4.459848350955639944e+03,1.740311316599064033e-18
4.463125514263811056e+03,2.688895578596098512e-18
4.466402677571982167e+03,1.785562749481168380e-18
4.469679840880154188e+03,2.023333428500900898e-18
4.472957004188324390e+03,2.862347002236600498e-18
4.476234167496505506e+03,2.229668727828700653e-18
4.479511330804676618e+03,3.237780994982388826e-18
4.482788494112847729e+03,3.997191037046703426e-18
4.486065657421017931e+03,3.843463798900537626e-18
4.489342820729189043e+03,1.872417543785007788e-18
4.492619984037361064e+03,3.361270999728864771e-18
4.495897147345532176e+03,4.212215153406629617e-18
4.499174310653702378e+03,3.711572082493845868e-18
4.502451473961883494e+03,4.313202580920704379e-18
4.505728637270054605e+03,4.256047080946817551e-18
4.509005800578224807e+03,4.461408745565215012e-18
4.512282963886395919e+03,4.897024542540473516e-18
4.515560127194567940e+03,3.807220513110912982e-18
4.518837290502739052e+03,4.634749239199495719e-18
4.522114453810909254e+03,4.841500689929335251e-18
4.525391617119080365e+03,3.582981130947282733e-18
4.528668780427251477e+03,4.129907910067221189e-18
4.531945943735422588e+03,4.969264695905579123e-18
4.535223107043592790e+03,5.705604076395971985e-18
4.538500270351773906e+03,6.806641358880159033e-18
4.541777433659945928e+03,7.371673170206462321e-18
4.545054596968117039e+03,6.921616756274662932e-18
4.548331760276287241e+03,6.577455921735828234e-18
4.551608923584458353e+03,7.780508578409574642e-18
4.554886086892629464e+03,8.300910391255820562e-18
4.558163250200799666e+03,7.522589544643846570e-18
4.561440413508970778e+03,9.432203311444405298e-18
4.564717576817152803e+03,9.393321963378467505e-18
4.567994740125323915e+03,7.850539164231512195e-18
4.571271903433494117e+03,7.477339953338663289e-18
4.574549066741665229e+03,8.414543181121571733e-18
4.577826230049836340e+03,6.132407843917177444e-18
4.581103393358007452e+03,6.467922097812820502e-18
4.584380556666177654e+03,6.987023584968805870e-18
4.587657719974349675e+03,7.380514660447316213e-18
4.590934883282520786e+03,7.095558262785169014e-18
4.594212046590700993e+03,7.073047174554912737e-18
4.597489209898872105e+03,6.356874246966567415e-18
4.600766373207043216e+03,6.734514032701352113e-18
4.604043536515214328e+03,5.898703626031902494e-18
4.607320699823384530e+03,5.125323013348578393e-18
4.610597863131555641e+03,5.857547439336902758e-18
4.613875026439727662e+03,5.895657156558885575e-18
4.617152189747898774e+03,5.137155237876630560e-18
4.620429353056078980e+03,4.525171212686695236e-18
4.623706516364250092e+03,4.176261038765421877e-18
4.626983679672421204e+03,3.578827131266153113e-18
4.630260842980592315e+03,1.947688742303422870e-18
4.633538006288762517e+03,3.304610829614957433e-18
4.636815169596934538e+03,3.936877261165320928e-18
4.640092332905105650e+03,3.044788058477804241e-18
4.643369496213276761e+03,2.961965795678345026e-18
4.646646659521446963e+03,5.176165111547857476e-18
4.649923822829618075e+03,4.492655647850159116e-18
4.653200986137799191e+03,4.199743148382982792e-18
4.656478149445969393e+03,4.497303463889227778e-18
4.659755312754141414e+03,3.913380171127148633e-18
4.663032476062312526e+03,3.247575953621405722e-18
4.666309639370483637e+03,2.693189033412771812e-18
4.669586802678653839e+03,3.114253528660099420e-18
4.672863965986824951e+03,2.858479093808648027e-18
4.676141129294996063e+03,2.189805272710666659e-18
4.679418292603167174e+03,2.834532139587159925e-18
4.682695455911347381e+03,1.853023080130039834e-18
4.685972619219519402e+03,2.272945161371386699e-18
4.689249782527690513e+03,2.186150997911850526e-18
4.692526945835861625e+03,2.158828302172076807e-18
4.695804109144031827e+03,3.388702986985185973e-18
4.699081272452202938e+03,3.339053983224309259e-18
4.702358435760374050e+03,1.521322711165583087e-18
4.705635599068545162e+03,2.633716590082766720e-18
4.708912762376716273e+03,3.856951239536472573e-18
4.712189925684887385e+03,3.691341236089561180e-18
4.715467088993068501e+03,3.935528448803127861e-18
4.718744252301238703e+03,3.588007853880227868e-18
4.722021415609409814e+03,3.765154603449697308e-18
4.725298578917580926e+03,2.781082508399202594e-18
4.728575742225752037e+03,2.563159301870460887e-18
4.731852905533923149e+03,2.572650798225080080e-18
4.735130068842094261e+03,3.320784740099754630e-18
4.738407232150265372e+03,3.761851939758019446e-18
4.741684395458445579e+03,3.465387770087839781e-18
4.744961558766616690e+03,3.131135579267711080e-18
4.748238722074787802e+03,4.021670874595450818e-18
4.751515885382958913e+03,3.488351938310501931e-18
4.754793048691129115e+03,1.829879940284999716e-18
4.758070211999301137e+03,2.217254621952303438e-18
4.761347375307472248e+03,1.763170309267518349e-18
4.764624538615643360e+03,1.727500654973190464e-18
4.767901701923813562e+03,1.799080592969600582e-18
4.771178865231994678e+03,5.101458450044199895e-19
4.774456028540165789e+03,8.719759936848591770e-19
4.777733191848336901e+03,1.919817750259345134e-18
4.781010355156508012e+03,2.203105033398141189e-19
4.784287518464679124e+03,2.265502818070618970e-18
4.787564681772850236e+03,2.417695589869332467e-18
4.790841845081021347e+03,1.360712200217946884e-18
4.794119008389191549e+03,2.878891611243458921e-18
4.797396171697362661e+03,3.278744058069144607e-18
4.800673335005533772e+03,2.422756210875740156e-18
4.803950498313704884e+03,1.416395023557567519e-18
4.807227661621886000e+03,1.954341395816001364e-18
4.810504824930057111e+03,2.430423298484206673e-18
4.813781988238228223e+03,1.914200895643437896e-18
4.817059151546398425e+03,1.953672764017684720e-18
4.820336314854569537e+03,1.484722292988809404e-18
4.823613478162740648e+03,1.941533072875632272e-18
4.826890641470911760e+03,2.610439850436855482e-18
4.830167804779092876e+03,1.929625287251595175e-18
4.833444968087263987e+03,1.929180215959762661e-18
4.836722131395435099e+03,2.758170584612060747e-18
4.839999294703606211e+03,1.847258808086504624e-18
4.843276458011776413e+03,1.235756183856657575e-18
4.846553621319947524e+03,2.232533263261290892e-18
4.849830784628118636e+03,2.462819544643324795e-18
4.853107947936290657e+03,2.028051038082264878e-18
4.856385111244460859e+03,2.603186962714080184e-18
4.859662274552631970e+03,5.320535977499003459e-18
4.862939437860813086e+03,5.042642782396400364e-18
4.866216601168983289e+03,3.050761892592432020e-18
4.869493764477154400e+03,1.655708961496120240e-18
4.872770927785325512e+03,1.157530847393789271e-18
4.876048091093496623e+03,2.099541156752667585e-18
4.879325254401667735e+03,2.503334129644405579e-18
4.882602417709838846e+03,1.736645337149549413e-18
4.885879581018009958e+03,1.739159315818902962e-18
4.889156744326181069e+03,1.043183684046799072e-18
4.892433907634361276e+03,1.781436829717511958e-18
4.895711070942532388e+03,2.150258826143686596e-18
4.898988234250703499e+03,2.854297473244353713e-18
4.902265397558874611e+03,2.437181024732842471e-18
4.905542560867045722e+03,1.021269594626178017e-18
4.908819724175216834e+03,1.000461223290423180e-18
4.912096887483387945e+03,1.958622160075883465e-18
4.915374050791558147e+03,2.164788327544719014e-18
4.918651214099729259e+03,2.678486720033349314e-18
4.921928377407910375e+03,2.599763893400295342e-18
4.925205540716082396e+03,2.643210980884609456e-18
4.928482704024252598e+03,2.386926845926778013e-18
4.931759867332423710e+03,2.332189052900930816e-18
4.935037030640594821e+03,2.899796191997086481e-18
4.938314193948765933e+03,2.048008756386109990e-18
4.941591357256936135e+03,2.395774658300342026e-18
4.944868520565107247e+03,2.580199117922905598e-18
4.948145683873278358e+03,2.590035394090634544e-18
4.951422847181459474e+03,1.830033211383167352e-18
4.954700010489630586e+03,2.038728564230891984e-18
4.957977173797801697e+03,1.661715116991530426e-18
4.961254337105972809e+03,1.449195121081562477e-18
4.964531500414143011e+03,2.419140461060559578e-18
4.967808663722314122e+03,3.015827784648029070e-18
4.971085827030485234e+03,1.837465986636666686e-18
4.974362990338657255e+03,2.099591479400388025e-18
4.977640153646837462e+03,3.015261435369904437e-18
4.980917316955008573e+03,1.804527171012049830e-18
4.984194480263179685e+03,2.505089333414839782e-18
4.987471643571350796e+03,3.410005525378133692e-18
4.990748806879520998e+03,2.410686997291360183e-18
4.994025970187692110e+03,2.014768279520879093e-18
4.997303133495864131e+03,1.559142497042059053e-18
5.000580296804035243e+03,1.747002006168161401e-18
5.003857460112215449e+03,1.131705375278370052e-18
5.007134623420386561e+03,1.054938220789932904e-18
5.010411786728557672e+03,2.561194229951806150e-18
5.013688950036727874e+03,2.212737530884492204e-18
5.016966113344898986e+03,2.323227828210872987e-18
5.020243276653070097e+03,2.737908852893332529e-18
5.023520439961242118e+03,3.170158839186335187e-18
5.026797603269412321e+03,3.109434785351043264e-18
5.030074766577583432e+03,2.270965914169904475e-18
5.033351929885754544e+03,2.074879534593995877e-18
5.036629093193925655e+03,1.637279654022808109e-18
5.039906256502105862e+03,1.122500793869519847e-18
5.043183419810276973e+03,2.012266216521836324e-18
5.046460583118448994e+03,2.843874423397521272e-18
5.049737746426620106e+03,3.014695472934204404e-18
5.053014909734790308e+03,1.476820389573335072e-18
5.056292073042961420e+03,1.066203519957789343e-18
5.059569236351132531e+03,1.839503799363400448e-18
5.062846399659302733e+03,1.776448239006080034e-18
5.066123562967473845e+03,3.109374335785807010e-18
5.069400726275654961e+03,2.633332925791404894e-18
5.072677889583826982e+03,1.514526864492027314e-18
5.075955052891997184e+03,2.118244541915944956e-18
5.079232216200168295e+03,2.368433479450678654e-18
5.082509379508339407e+03,2.110388492670013654e-18
5.085786542816510519e+03,3.094456955495681893e-18
5.089063706124680721e+03,3.662468367562470121e-18
5.092340869432851832e+03,1.066389904012934658e-18
5.095618032741033858e+03,1.670953351216097973e-18
5.098895196049204060e+03,3.154896924660125039e-18
5.102172359357375171e+03,2.820023129157134898e-18
5.105449522665546283e+03,2.369875390781420372e-18
5.108726685973717395e+03,2.361481917767532279e-18
5.112003849281887597e+03,1.499170602481461999e-18
5.115281012590058708e+03,2.036334744417636669e-18
5.118558175898230729e+03,2.087843272756154061e-18
5.121835339206401841e+03,1.372300689876116994e-18
5.125112502514582047e+03,3.104868717681679676e-18
5.128389665822753159e+03,2.978100734293981588e-18
5.131666829130924270e+03,2.606333787648120384e-18
5.134943992439095382e+03,2.030502239270006950e-18
5.138221155747265584e+03,2.667753754175081025e-18
5.141498319055436696e+03,2.468406422294289023e-18
5.144775482363608717e+03,2.149395088670509163e-18
5.148052645671779828e+03,2.631019401926953178e-18
5.151329808979950030e+03,1.653696277619399654e-18
5.154606972288121142e+03,2.172009215777432628e-18
5.157884135596302258e+03,2.820493884989306200e-18
5.161161298904472460e+03,2.740516315729740612e-18
5.164438462212643572e+03,2.516512497906554708e-18
5.167715625520815593e+03,2.831672336132810032e-18
5.170992788828986704e+03,2.771110574762558290e-18
5.174269952137156906e+03,2.042367766879154291e-18
5.177547115445328018e+03,1.768324484968410720e-18
5.180824278753499129e+03,2.531376956707838846e-18
5.184101442061670241e+03,2.644191749283877559e-18
5.187378605369850447e+03,2.374859115271185007e-18
5.190655768678022469e+03,2.972344716786691845e-18
5.193932931986193580e+03,2.579937446820140609e-18
5.197210095294364692e+03,2.108979122415013448e-18
5.200487258602534894e+03,2.340129120285554423e-18
5.203764421910706005e+03,2.720978453072003755e-18
5.207041585218877117e+03,2.724859137842163810e-18
5.210318748527048228e+03,2.940212443343456298e-18
5.213595911835218430e+03,2.469003556904891951e-18
5.216873075143400456e+03,1.802226727716892290e-18
5.220150238451571568e+03,2.203398173138691097e-18
5.223427401759741770e+03,2.806820123567044527e-18
5.226704565067912881e+03,2.188282080741690575e-18
5.229981728376083993e+03,1.582692803727382369e-18
5.233258891684255104e+03,1.830341948357861891e-18
5.236536054992425306e+03,1.825298339096077549e-18
5.239813218300597327e+03,1.879817602381238814e-18
5.243090381608768439e+03,2.224942456243118236e-18
5.246367544916939551e+03,2.043954759685399429e-18
5.249644708225119757e+03,2.029357666173759330e-18
5.252921871533290869e+03,2.251831008822922844e-18
5.256199034841461980e+03,1.934746396953227163e-18
5.259476198149632182e+03,2.751994043787571814e-18
5.262753361457804203e+03,2.591179288794649215e-18
5.266030524765975315e+03,1.348554469374267200e-18
5.269307688074146427e+03,1.598289291322797617e-18
5.272584851382326633e+03,1.799988039436990655e-18
5.275862014690497745e+03,1.840849250267480943e-18
5.279139177998668856e+03,1.814017260948212805e-18
5.282416341306839968e+03,2.834438270670341187e-18
5.285693504615010170e+03,2.417449257957502041e-18
5.288970667923182191e+03,2.190975133224565329e-18
5.292247831231353302e+03,1.296509157336557101e-18
5.295524994539524414e+03,1.508783962546732464e-18
5.298802157847694616e+03,1.884537166839226868e-18
5.302079321155865728e+03,1.865021147789975833e-18
5.305356484464036839e+03,1.929956666146311439e-18
5.308633647772217046e+03,1.534790480203208876e-18
5.311910811080389067e+03,1.288741341218264667e-18
5.315187974388560178e+03,1.578812480777957373e-18
5.318465137696731290e+03,1.308581016223808658e-18
5.321742301004901492e+03,1.550397686064882441e-18
5.325019464313072604e+03,2.378301452805451416e-18
5.328296627621243715e+03,1.651203315019940997e-18
5.331573790929414827e+03,1.382419685106610820e-18
5.334850954237595943e+03,1.305841118018446720e-18
5.338128117545767054e+03,2.032409548078110526e-18
5.341405280853938166e+03,2.654036397887400221e-18
5.344682444162109277e+03,2.177066275346846667e-18
5.347959607470279479e+03,1.999304046008487090e-18
5.351236770778450591e+03,2.045620189454822154e-18
5.354513934086621703e+03,1.615852573074811163e-18
5.357791097394792814e+03,1.260939588325268222e-18
5.361068260702963926e+03,2.670949921699194705e-19
5.364345424011145042e+03,1.321470910156972740e-18
5.367622587319316153e+03,1.882396984065990413e-18
5.370899750627486355e+03,2.098672167756906040e-18
5.374176913935657467e+03,2.356997803728264116e-18
5.377454077243828579e+03,1.197467807410796182e-18
5.380731240551999690e+03,1.324451157109077589e-18
