 11  1.397E+00  9.627E+07  4.654E-08  8.372E-11  2.081E-01  7.950E-05  2.310E-15  2.749E-07  1.000E-20  4.702E-07  3.389E-12  7.032E-07  5.267E-08  7.968E-06  3.102E-06  3.840E-12  3.655E-05  9.242E-06  3.533E-05  5.005E-07  2.182E-05  3.907E-04  5.896E-07  2.144E-14  1.648E-04  3.067E-13  2.298E-04  5.678E-07  1.867E-08  1.252E-08  4.440E-04  7.160E-06  1.184E-10  1.786E-05  8.956E-06  1.816E-09  4.169E-01  3.361E-01  3.735E-02  4.190E-05  3.780E-05  1.961E-06
 12  1.397E+00  9.631E+07  2.886E-08  8.372E-11  2.081E-01  7.950E-05  2.310E-15  2.749E-07  1.000E-20  4.702E-07  3.389E-12  7.032E-07  5.267E-08  7.968E-06  3.102E-06  3.840E-12  3.655E-05  9.242E-06  3.533E-05  5.005E-07  2.182E-05  3.907E-04  5.896E-07  2.144E-14  1.648E-04  3.067E-13  2.298E-04  5.678E-07  1.867E-08  1.252E-08  4.440E-04  7.160E-06  1.184E-10  1.786E-05  8.956E-06  1.816E-09  4.169E-01  3.361E-01  3.735E-02  4.190E-05  3.780E-05  1.701E-06
 13  1.397E+00  9.636E+07  4.456E-08  8.757E-11  2.099E-01  7.815E-05  2.343E-15  2.705E-07  1.000E-20  4.634E-07  3.246E-12  6.894E-07  5.165E-08  7.810E-06  3.124E-06  3.675E-12  3.551E-05  9.054E-06  3.487E-05  5.029E-07  2.176E-05  3.883E-04  5.748E-07  2.025E-14  1.633E-04  2.898E-13  2.306E-04  5.596E-07  1.790E-08  1.227E-08  4.360E-04  7.053E-06  1.131E-10  1.780E-05  8.848E-06  1.765E-09  4.110E-01  3.402E-01  3.728E-02  4.046E-05  3.611E-05  1.311E-06
 14  1.397E+00  9.638E+07  1.920E-08  8.722E-11  2.097E-01  7.827E-05  2.340E-15  2.709E-07  1.000E-20  4.640E-07  3.259E-12  6.906E-07  5.174E-08  7.824E-06  3.122E-06  3.690E-12  3.560E-05  9.071E-06  3.491E-05  5.027E-07  2.176E-05  3.885E-04  5.761E-07  2.036E-14  1.634E-04  2.913E-13  2.305E-04  5.603E-07  1.797E-08  1.229E-08  4.367E-04  7.063E-06  1.136E-10  1.780E-05  8.858E-06  1.769E-09  4.116E-01  3.398E-01  3.729E-02  4.059E-05  3.627E-05  7.129E-07
 15  1.397E+00  9.666E+07  3.132E-08  9.882E-11  2.152E-01  7.420E-05  2.439E-15  2.578E-07  1.000E-20  4.434E-07  2.828E-12  6.491E-07  4.866E-08  7.349E-06  3.186E-06  3.194E-12  3.246E-05  8.505E-06  3.353E-05  5.098E-07  2.157E-05  3.814E-04  5.314E-07  1.680E-14  1.588E-04  2.405E-13  2.328E-04  5.356E-07  1.567E-08  1.153E-08  4.125E-04  6.742E-06  9.755E-11  1.761E-05  8.534E-06  1.615E-09  3.939E-01  3.523E-01  3.708E-02  3.624E-05  3.120E-05  6.892E-07
 16  1.398E+00  9.702E+07  2.825E-08  1.052E-10  2.182E-01  7.197E-05  2.493E-15  2.506E-07  1.000E-20  4.322E-07  2.593E-12  6.263E-07  4.697E-08  7.089E-06  3.222E-06  2.922E-12  3.074E-05  8.195E-06  3.277E-05  5.138E-07  2.147E-05  3.774E-04  5.070E-07  1.484E-14  1.563E-04  2.126E-13  2.340E-04  5.221E-07  1.441E-08  1.111E-08  3.993E-04  6.567E-06  8.877E-11  1.750E-05  8.356E-06  1.531E-09  3.843E-01  3.591E-01  3.697E-02  3.386E-05  2.842E-05  7.831E-07
 17  1.399E+00  9.738E+07  2.781E-08  1.042E-10  2.177E-01  7.233E-05  2.484E-15  2.518E-07  1.000E-20  4.340E-07  2.630E-12  6.300E-07  4.724E-08  7.131E-06  3.216E-06  2.966E-12  3.102E-05  8.244E-06  3.289E-05  5.131E-07  2.148E-05  3.781E-04  5.109E-07  1.515E-14  1.567E-04  2.170E-13  2.338E-04  5.242E-07  1.461E-08  1.118E-08  4.014E-04  6.595E-06  9.017E-11  1.752E-05  8.384E-06  1.544E-09  3.858E-01  3.580E-01  3.699E-02  3.424E-05  2.886E-05  8.197E-07
 18  1.399E+00  9.764E+07  1.511E-08  9.915E-11  2.154E-01  7.409E-05  2.442E-15  2.574E-07  1.000E-20  4.428E-07  2.816E-12  6.479E-07  4.857E-08  7.336E-06  3.188E-06  3.180E-12  3.237E-05  8.489E-06  3.349E-05  5.100E-07  2.156E-05  3.812E-04  5.301E-07  1.669E-14  1.587E-04  2.390E-13  2.328E-04  5.349E-07  1.560E-08  1.151E-08  4.118E-04  6.733E-06  9.708E-11  1.760E-05  8.524E-06  1.611E-09  3.934E-01  3.526E-01  3.707E-02  3.612E-05  3.105E-05  5.009E-07
 19  1.399E+00  9.811E+07  2.048E-08  9.882E-11  2.152E-01  7.420E-05  2.439E-15  2.578E-07  1.000E-20  4.434E-07  2.828E-12  6.491E-07  4.866E-08  7.349E-06  3.186E-06  3.194E-12  3.246E-05  8.505E-06  3.353E-05  5.098E-07  2.157E-05  3.814E-04  5.314E-07  1.680E-14  1.588E-04  2.405E-13  2.328E-04  5.356E-07  1.567E-08  1.153E-08  4.125E-04  6.742E-06  9.755E-11  1.761E-05  8.534E-06  1.615E-09  3.939E-01  3.523E-01  3.708E-02  3.624E-05  3.120E-05  4.406E-07
 20  1.400E+00  9.876E+07  1.418E-08  1.069E-10  2.190E-01  7.137E-05  2.508E-15  2.487E-07  1.000E-20  4.291E-07  2.529E-12  6.202E-07  4.651E-08  7.019E-06  3.231E-06  2.849E-12  3.028E-05  8.111E-06  3.256E-05  5.148E-07  2.144E-05  3.764E-04  5.003E-07  1.431E-14  1.556E-04  2.050E-13  2.344E-04  5.184E-07  1.406E-08  1.100E-08  3.957E-04  6.519E-06  8.639E-11  1.747E-05  8.308E-06  1.508E-09  3.817E-01  3.609E-01  3.694E-02  3.322E-05  2.766E-05  3.485E-07
