# Epoch [d], NII_percentage, NII_percentage_sig
1.500000000000000000e+02,1.382686561560438898e+00,1.135044684944771232e-01
2.000000000000000000e+02,2.112520612058860436e+00,5.044797196643248383e-02
2.500000000000000000e+02,1.491901576635472182e+00,2.944979869415189147e-02
3.000000000000000000e+02,1.492146011605533618e+00,2.319068588963927799e-02
3.500000000000000000e+02,2.918374473766117472e+00,3.870535288158938325e-02
4.000000000000000000e+02,2.750931798636746972e+00,2.790450770318328097e-02
