WAVE,FLUX,ERR,SKYBACK
10072.416,1.3902018E-16,3.2380471E-18,2.0618852E-17
10079.367,1.1724949E-16,3.1431294E-18,1.9910739E-17
10086.317,1.2441499E-16,3.2277218E-18,1.9640934E-17
10093.269,1.2904551E-16,3.2168907E-18,2.0187523E-17
10100.22,1.3305968E-16,3.415871E-18,2.1227562E-17
10107.171,1.2198357E-16,3.2821838E-18,2.2785782E-17
10114.122,1.3225296E-16,3.2696946E-18,2.1424173E-17
10121.073,1.3042133E-16,3.2018331E-18,2.0766914E-17
10128.024,1.2224274E-16,3.1533924E-18,2.0159105E-17
10134.976,1.2436261E-16,3.0576057E-18,1.9621383E-17
10141.927,1.2592822E-16,3.1473075E-18,1.9864539E-17
10148.878,1.2104146E-16,3.0428395E-18,2.0797081E-17
10155.829,1.1463166E-16,3.2850854E-18,2.2624902E-17
10162.78,1.1966173E-16,3.0094952E-18,2.3279476E-17
10169.731,1.06521566E-16,3.0997237E-18,2.3018001E-17
10176.683,1.3245192E-16,3.1214866E-18,2.0829137E-17
10183.634,1.0728726E-16,3.1527265E-18,2.035391E-17
10190.585,1.1957343E-16,2.995948E-18,2.2910373E-17
10197.536,1.3025363E-16,3.0612606E-18,2.2352136E-17
10204.486,1.1331481E-16,3.1901476E-18,2.225642E-17
10211.4375,1.1201288E-16,2.9205156E-18,2.060774E-17
10218.389,1.2590502E-16,3.1234698E-18,1.8106821E-17
10225.34,1.1218626E-16,2.9298764E-18,1.8702074E-17
10232.291,1.1045111E-16,3.0221869E-18,1.6807814E-17
10239.242,1.10699815E-16,2.912653E-18,1.6345818E-17
10246.193,1.0264615E-16,2.846958E-18,1.670567E-17
10253.145,9.0071915E-17,2.7819449E-18,1.7456843E-17
10260.096,1.01176656E-16,3.0916343E-18,2.0783692E-17
10267.047,1.1133062E-16,3.1573356E-18,2.494624E-17
10273.998,1.04844044E-16,2.8704325E-18,2.8892155E-17
10280.949,9.9311E-17,2.7372525E-18,3.042555E-17
10287.9,1.08854375E-16,2.9576188E-18,2.6313029E-17
10294.852,8.701351E-17,2.6509478E-18,2.0883882E-17
10301.803,8.506959E-17,2.8091798E-18,1.8242325E-17
10308.754,9.580036E-17,2.7417445E-18,1.7198112E-17
10315.705,9.19173E-17,2.7196737E-18,1.6191384E-17
10322.655,8.808172E-17,2.7946125E-18,1.6679912E-17
10329.606,8.426821E-17,2.6507896E-18,1.6309545E-17
10336.558,8.17139E-17,2.6090104E-18,1.8324486E-17
10343.509,7.962432E-17,2.5756365E-18,1.9572412E-17
10350.46,6.601664E-17,2.478264E-18,1.837508E-17
10357.411,7.510673E-17,2.505519E-18,2.142718E-17
10364.362,6.877264E-17,2.4097086E-18,2.2368737E-17
10371.313,7.056678E-17,2.4190093E-18,2.1163527E-17
10378.265,6.478265E-17,2.452987E-18,1.9967683E-17
10385.216,6.388158E-17,2.346161E-18,1.8302422E-17
10392.167,5.7842636E-17,2.276134E-18,1.9712669E-17
10399.118,5.103126E-17,2.2762189E-18,2.0787577E-17
10406.069,4.1021227E-17,2.8708813E-18,2.1241897E-17
10413.0205,5.0095507E-17,2.1952174E-18,2.213972E-17
10419.972,4.1049526E-17,2.1083045E-18,1.8915177E-17
10426.923,5.5772785E-17,2.4220727E-18,1.7251858E-17
10433.874,4.1048772E-17,2.0968507E-18,1.6981773E-17
10440.824,4.1808474E-17,2.121846E-18,1.8764898E-17
10447.775,5.1538193E-17,2.2907834E-18,1.9210768E-17
10454.727,3.7780806E-17,2.2361587E-18,1.8305677E-17
10461.678,4.099573E-17,2.2692687E-18,2.0041668E-17
10468.629,3.5436053E-17,1.9669567E-18,1.531398E-17
10475.58,3.6882888E-17,2.0113926E-18,1.5169703E-17
10482.531,2.7956276E-17,1.9064092E-18,1.5410011E-17
10489.482,2.8619447E-17,1.9043044E-18,1.5203641E-17
10496.434,5.2351655E-17,2.561508E-18,1.586237E-17
10503.385,3.7908622E-17,2.078324E-18,1.6384392E-17
10510.336,3.8499107E-17,2.042706E-18,1.662273E-17
10517.287,4.1362075E-17,2.329106E-18,1.5732084E-17
10524.238,4.5529285E-17,2.1976415E-18,1.4874891E-17
10531.189,3.6370364E-17,1.9732685E-18,1.4258248E-17
10538.141,4.8586657E-17,2.4019391E-18,1.4281561E-17
10545.092,3.9212798E-17,1.9802512E-18,1.35881414E-17
10552.043,3.857987E-17,2.0142797E-18,1.4675666E-17
10558.993,4.1588755E-17,2.069095E-18,1.3268156E-17
10565.944,4.0167364E-17,2.1133871E-18,1.7422947E-17
10572.8955,4.0805127E-17,2.0358518E-18,1.5617385E-17
10579.847,3.472241E-17,1.96706E-18,1.4504007E-17
10586.798,5.389326E-17,2.2014355E-18,1.3128981E-17
10593.749,4.8625395E-17,2.18734E-18,1.4317537E-17
10600.7,4.8904556E-17,2.131803E-18,1.3403125E-17
10607.651,5.1405285E-17,2.152231E-18,1.2980525E-17
10614.603,4.8071876E-17,2.1574529E-18,1.2484589E-17
10621.554,4.965266E-17,2.1463395E-18,1.4782578E-17
10628.505,5.500473E-17,2.181933E-18,1.4989667E-17
10635.456,4.834309E-17,2.0791487E-18,1.2673818E-17
10642.407,5.85328E-17,2.217681E-18,1.3924244E-17
10649.358,5.95395E-17,2.1924503E-18,1.32044975E-17
10656.31,6.095385E-17,2.2172864E-18,1.2176443E-17
10663.261,5.075765E-17,2.2144899E-18,1.2745436E-17
10670.212,5.9073626E-17,2.2700954E-18,1.4863666E-17
10677.162,8.6785904E-17,2.503509E-18,1.5130814E-17
10684.113,6.425185E-17,2.4461338E-18,1.543348E-17
10691.064,6.6477204E-17,2.284947E-18,1.6825009E-17
10698.016,7.1188805E-17,2.3022566E-18,1.7524015E-17
10704.967,7.6575345E-17,2.325292E-18,1.8412084E-17
10711.918,8.145491E-17,2.3869173E-18,1.7771166E-17
10718.869,8.267589E-17,2.4550634E-18,1.982652E-17
10725.82,7.6992846E-17,2.3997039E-18,1.9558484E-17
10732.771,8.305706E-17,2.4656562E-18,2.0030465E-17
10739.723,9.586074E-17,2.6578752E-18,2.0298638E-17
10746.674,9.591821E-17,2.5666403E-18,1.7499816E-17
10753.625,1.0241209E-16,2.5569383E-18,1.6544865E-17
10760.576,9.941187E-17,2.6664955E-18,1.4029858E-17
10767.527,1.1099002E-16,2.6955279E-18,1.3853481E-17
10774.479,1.03651495E-16,2.6591727E-18,1.4078545E-17
10781.43,1.1655045E-16,2.7275092E-18,1.3076396E-17
10788.381,1.1197514E-16,2.701152E-18,1.2195141E-17
10795.331,1.2065771E-16,2.7774696E-18,1.082991E-17
10802.282,1.222724E-16,2.7922935E-18,1.379678E-17
10809.233,1.23828E-16,2.7944932E-18,1.893963E-17
10816.185,1.3107426E-16,2.8628814E-18,2.4481553E-17
10823.136,1.3405838E-16,2.8698107E-18,2.7703288E-17
10830.087,1.302697E-16,2.8318501E-18,2.565523E-17
10837.038,1.506711E-16,2.9729913E-18,1.9604513E-17
10843.989,1.3959922E-16,2.8810808E-18,1.64486E-17
10850.94,1.4953375E-16,3.0993699E-18,1.3217703E-17
10857.892,1.4529676E-16,3.0377834E-18,1.3052219E-17
10864.843,1.5012971E-16,3.0148148E-18,1.1570354E-17
10871.794,1.5134087E-16,2.979907E-18,1.2902033E-17
10878.745,1.5341814E-16,2.9966526E-18,1.3788203E-17
10885.696,1.4876601E-16,2.9417527E-18,1.330818E-17
10892.647,1.530114E-16,2.9677338E-18,1.3625478E-17
10899.599,1.5867443E-16,3.039678E-18,1.5859177E-17
10906.55,1.6834107E-16,3.1271873E-18,1.995731E-17
10913.5,1.6618894E-16,3.1235134E-18,1.9822975E-17
10920.451,1.7120084E-16,3.2119702E-18,1.999524E-17
10927.402,1.7729191E-16,3.3535678E-18,1.7698528E-17
10934.354,1.7593474E-16,3.186976E-18,1.6203115E-17
10941.305,1.7257915E-16,3.2291793E-18,1.540553E-17
10948.256,1.7217084E-16,3.1481109E-18,1.6709794E-17
10955.207,1.6794722E-16,3.0919242E-18,1.9550988E-17
10962.158,1.7465802E-16,3.1629439E-18,2.1117377E-17
10969.109,1.7723655E-16,3.1899974E-18,1.873655E-17
10976.061,1.7503303E-16,3.1646483E-18,1.6260402E-17
10983.012,1.759193E-16,3.1925578E-18,1.4733604E-17
10989.963,1.7712699E-16,3.208476E-18,1.31202186E-17
10996.914,1.760767E-16,3.195637E-18,1.481099E-17
11003.865,1.7687643E-16,3.2096194E-18,1.6087048E-17
11010.816,1.9644393E-16,3.3709306E-18,1.8025243E-17
11017.768,1.7126739E-16,3.1607072E-18,1.9090783E-17
11024.719,1.653381E-16,3.1064724E-18,1.6799345E-17
11031.669,1.7257698E-16,3.2009758E-18,1.34573964E-17
11038.62,1.5945067E-16,3.1564846E-18,1.1855432E-17
11045.571,1.7836158E-16,3.1920255E-18,1.1656626E-17
11052.522,1.7082123E-16,3.2253096E-18,1.2374793E-17
11059.474,1.6162207E-16,3.3680317E-18,1.4243858E-17
11066.425,1.6712177E-16,3.1518175E-18,1.4740132E-17
11073.376,1.6577838E-16,3.1576042E-18,1.4429527E-17
11080.327,1.6538738E-16,3.1513247E-18,1.4872277E-17
11087.278,1.6558502E-16,3.1482566E-18,1.3298025E-17
11094.2295,1.58191E-16,3.1323785E-18,1.2175399E-17
11101.181,1.7650209E-16,3.2993319E-18,1.1271734E-17
11108.132,1.6895404E-16,3.2370307E-18,1.0687908E-17
11115.083,1.5687498E-16,3.2636696E-18,1.261223E-17
11122.034,1.5712297E-16,3.3190517E-18,1.2684109E-17
11128.985,1.5388009E-16,3.3078535E-18,1.29084645E-17
11135.937,1.5174766E-16,3.3277627E-18,1.4115728E-17
11142.888,1.5481496E-16,3.492283E-18,1.5122284E-17
11149.838,1.355409E-16,3.7361283E-18,1.5618766E-17
11156.789,1.5037712E-16,3.6960692E-18,1.5276241E-17
11163.74,1.6113507E-16,3.6776326E-18,1.4155188E-17
11170.691,1.4677882E-16,3.5760523E-18,1.3279337E-17
11177.643,1.4186611E-16,3.6140303E-18,1.5039128E-17
11184.594,1.4828487E-16,3.6949695E-18,1.3455719E-17
11191.545,1.3828708E-16,3.5153745E-18,1.3908329E-17
11198.496,1.1953193E-16,3.4234567E-18,1.4931394E-17
11205.447,1.2191845E-16,3.6664156E-18,1.507873E-17
11212.398,1.4018194E-16,3.946651E-18,1.6566365E-17
11219.35,1.4144491E-16,3.929395E-18,1.6188373E-17
11226.301,1.369191E-16,3.624706E-18,1.4439326E-17
11233.252,1.2886668E-16,3.6450657E-18,1.4015174E-17
11240.203,1.2872348E-16,3.8359955E-18,1.6234761E-17
11247.154,1.3774037E-16,3.836154E-18,1.5112689E-17
11254.105,1.3466748E-16,3.730123E-18,1.5838052E-17
11261.057,1.3246984E-16,3.9217204E-18,1.602544E-17
11268.007,1.080092E-16,3.4426721E-18,1.7698747E-17
11274.958,1.1426028E-16,3.831925E-18,2.0052048E-17
11281.909,1.4641793E-16,4.357649E-18,2.141141E-17
11288.86,1.3969045E-16,3.660104E-18,2.16439E-17
