WAVE,FLUX,ERR,SKYBACK
3339.6384,3.8086905E-16,7.140849E-17,2.1655991E-16
3343.7239,1.3466101E-16,6.761112E-17,2.8140327E-16
3347.8093,4.0698414E-16,6.9540287E-17,3.4164793E-16
3351.8948,2.1571943E-16,6.652188E-17,3.7490335E-16
3355.9802,4.2588695E-16,6.6701065E-17,2.8700663E-16
3360.0657,2.9396392E-16,6.3588775E-17,2.6183046E-16
3364.1511,2.3907786E-16,6.1325066E-17,2.257455E-16
3368.2366,3.2002993E-16,6.0528564E-17,1.4577297E-16
3372.322,3.6992348E-16,5.9255765E-17,1.048688E-16
3376.4075,3.4027984E-16,5.790897E-17,1.1451363E-16
3380.493,3.8549293E-17,5.3809402E-17,1.6641949E-16
3384.5784,2.663832E-16,5.4457257E-17,9.419688E-17
3388.6638,3.0490433E-16,5.3419602E-17,7.06586E-17
3392.7493,3.0813682E-16,5.3192217E-17,1.5062887E-16
3396.835,2.360702E-16,5.1231795E-17,1.4976956E-16
3400.9204,2.222494E-16,5.0201687E-17,1.8850644E-16
3405.0059,2.9705856E-16,5.01669E-17,2.0593432E-16
3409.0913,3.2487313E-16,4.9523138E-17,2.0400222E-16
3413.1768,3.3294843E-16,4.8328808E-17,1.9567321E-16
3417.2622,2.8825566E-16,4.7493478E-17,2.4266692E-16
3421.3477,3.9485685E-16,4.7036987E-17,1.6912965E-16
3425.433,4.743223E-16,4.7221468E-17,2.0992482E-16
3429.5186,4.0527697E-16,4.5628838E-17,2.0490561E-16
3433.604,3.5044154E-16,4.450889E-17,2.5073726E-16
3437.6895,4.8065223E-16,4.5122504E-17,2.4918148E-16
3441.775,5.4520673E-16,4.4945342E-17,2.3690387E-16
3445.8604,5.8771106E-16,4.4340398E-17,2.2542106E-16
3449.9458,5.608852E-16,4.3465784E-17,2.2605022E-16
3454.0312,5.5245156E-16,4.2633428E-17,2.3900226E-16
3458.1167,6.05442E-16,4.2542E-17,2.434438E-16
3462.2021,6.433924E-16,4.2696615E-17,3.1709433E-16
3466.2876,5.5133147E-16,4.162011E-17,3.692627E-16
3470.373,6.6668365E-16,4.2131753E-17,3.7750924E-16
3474.4585,7.329682E-16,4.1466964E-17,3.0550737E-16
3478.544,7.606213E-16,4.097462E-17,2.7226966E-16
3482.6294,7.800862E-16,4.036626E-17,2.3461119E-16
3486.7148,8.6530054E-16,4.0156525E-17,1.8108369E-16
3490.8003,8.7631784E-16,3.971461E-17,1.8319566E-16
3494.8857,8.922954E-16,3.9357627E-17,1.7704773E-16
3498.9712,9.984209E-16,3.9296863E-17,1.4368804E-16
3503.0566,8.947336E-16,3.7985398E-17,1.43825E-16
3507.142,9.576722E-16,3.82186E-17,1.60472E-16
3511.2275,9.257821E-16,3.7048583E-17,1.0295978E-16
3515.313,8.6276145E-16,3.646901E-17,1.5455204E-16
3519.3984,9.212744E-16,3.682931E-17,2.0961524E-16
3523.484,9.122672E-16,3.6208415E-17,1.9605327E-16
3527.5693,9.710191E-16,3.6917554E-17,2.8473867E-16
3531.6548,8.4805606E-16,3.5954325E-17,3.5573332E-16
3535.7402,8.8450616E-16,3.5729018E-17,3.305808E-16
3539.8257,6.4998656E-16,3.5148876E-17,6.05909E-16
3543.9111,5.5097953E-16,3.4245367E-17,6.4899754E-16
3547.9966,9.303555E-16,3.4616576E-17,2.708407E-16
3552.082,9.741272E-16,3.447066E-17,2.582071E-16
3556.1675,8.7000205E-16,3.313042E-17,2.2335666E-16
3560.253,8.521992E-16,3.2370317E-17,1.8261181E-16
3564.3384,9.103873E-16,3.223878E-17,1.5191683E-16
3568.4238,8.899822E-16,3.1523436E-17,1.08201246E-16
3572.5093,8.882356E-16,3.127385E-17,1.0825039E-16
3576.5947,8.832784E-16,3.0820803E-17,9.442728E-17
3580.6802,8.410733E-16,3.0288363E-17,1.08219464E-16
3584.7656,8.8814306E-16,3.0344935E-17,1.1680477E-16
3588.851,8.137269E-16,2.9400222E-17,9.549819E-17
3592.9365,9.334264E-16,3.0010596E-17,9.294581E-17
3597.022,8.7860245E-16,2.9569612E-17,1.1398814E-16
3601.1074,9.316441E-16,2.9710554E-17,1.2048181E-16
3605.1929,9.586963E-16,2.988557E-17,1.5070615E-16
3609.2783,9.488393E-16,2.950657E-17,1.4745716E-16
3613.3638,9.643794E-16,3.177936E-17,1.7768835E-16
3617.4492,9.478398E-16,2.9368E-17,2.0990089E-16
3621.5347,9.462741E-16,2.9300633E-17,2.4166088E-16
3625.62,9.461663E-16,2.8986655E-17,2.343583E-16
3629.7056,1.027166E-15,2.9248835E-17,2.160472E-16
3633.791,9.605679E-16,2.8464847E-17,2.0903865E-16
3637.8765,1.0454162E-15,2.8774338E-17,1.9715534E-16
3641.9622,1.050681E-15,2.8535792E-17,1.9011713E-16
3646.0476,1.0115609E-15,2.8141045E-17,2.0181255E-16
3650.133,9.859246E-16,2.7571071E-17,1.7865794E-16
3654.2185,9.650387E-16,2.7231646E-17,1.8852661E-16
3658.304,9.474695E-16,2.6876202E-17,1.7955764E-16
3662.3894,9.92864E-16,2.6800945E-17,1.4652955E-16
3666.4749,8.967552E-16,2.5881298E-17,1.431421E-16
3670.5603,9.259619E-16,2.5851922E-17,1.3563671E-16
3674.6458,9.637551E-16,2.5811483E-17,1.1563773E-16
3678.7312,8.874453E-16,2.5090408E-17,1.2125425E-16
3682.8167,8.992935E-16,2.4955128E-17,1.2089785E-16
3686.902,9.25398E-16,2.511735E-17,1.4489937E-16
3690.9875,9.15992E-16,2.4990643E-17,1.6686823E-16
3695.073,8.840118E-16,2.4570302E-17,1.6439279E-16
3699.1584,8.757884E-16,2.456322E-17,2.0298276E-16
3703.244,9.477879E-16,2.4830523E-17,1.9541901E-16
3707.3293,9.057361E-16,2.4193228E-17,1.6664121E-16
3711.4148,8.8471204E-16,2.3822067E-17,1.5961288E-16
3715.5002,9.12023E-16,2.3823233E-17,1.5429516E-16
3719.5857,9.819109E-16,2.4360845E-17,1.9217041E-16
3723.6711,9.474922E-16,2.400602E-17,1.9713227E-16
3727.7566,9.795248E-16,2.4094626E-17,2.0927157E-16
3731.842,9.698385E-16,2.398206E-17,2.285284E-16
3735.9275,9.704546E-16,2.3767472E-17,2.1659383E-16
3740.013,9.669466E-16,2.3616256E-17,2.220524E-16
3744.0984,1.0003367E-15,2.3588698E-17,2.0306261E-16
3748.1838,9.788715E-16,2.3202312E-17,1.8506071E-16
3752.2693,1.0472883E-15,2.3439736E-17,1.7345443E-16
3756.3547,1.0432667E-15,2.3169122E-17,1.5398448E-16
3760.4402,1.0405886E-15,2.2982732E-17,1.5150813E-16
3764.5256,9.848036E-16,2.2572894E-17,1.7236939E-16
3768.611,8.6041353E-16,2.2175318E-17,2.69592E-16
3772.6965,8.3576434E-16,2.195176E-17,3.0072595E-16
3776.782,9.682631E-16,2.201454E-17,1.7412307E-16
3780.8674,9.02534E-16,2.1391145E-17,1.6228847E-16
3784.953,7.9173837E-16,2.0447896E-17,1.4668717E-16
3789.0383,7.187519E-16,1.9929509E-17,1.6441743E-16
3793.1238,5.8403176E-16,1.8986526E-17,1.929023E-16
3797.2092,2.8969347E-16,1.7682193E-17,3.676525E-16
3801.2947,4.0215245E-16,1.7474852E-17,2.05922E-16
3805.3801,3.9327303E-16,1.6934075E-17,1.4814961E-16
3809.4656,3.7182634E-16,1.6714147E-17,1.5481455E-16
3813.551,3.4776113E-16,1.648062E-17,1.64072E-16
3817.6365,3.0025836E-16,1.6153896E-17,1.9062552E-16
3821.722,3.2344374E-16,1.624242E-17,1.8737433E-16
3825.8074,3.0479022E-16,1.6049716E-17,1.9634425E-16
3829.8928,2.4171292E-16,1.5907112E-17,2.709938E-16
3833.9783,2.1960065E-16,1.601032E-17,3.2761797E-16
3838.0637,2.9071346E-16,1.5699946E-17,2.0283215E-16
3842.1492,2.971953E-16,1.5595384E-17,1.8961294E-16
3846.2346,2.942186E-16,1.5384588E-17,1.7126151E-16
3850.32,3.0209914E-16,1.5320247E-17,1.6944362E-16
