WAVE,FLUX,ERR,SKYBACK
14997.138,4.795273E-18,4.6507646E-19,1.1857549E-17
15007.316,3.4626883E-18,4.1273647E-19,1.565888E-17
15017.495,-6.007113E-19,6.0069934E-19,2.9432072E-17
15027.674,3.5898977E-18,8.721422E-19,5.450076E-17
15037.853,1.8505565E-18,1.0849761E-18,7.07193E-17
15048.031,4.6028817E-18,1.1091948E-18,6.5890706E-17
15058.21,8.552678E-18,1.0985027E-18,5.1224827E-17
15068.389,1.2440699E-17,1.2653287E-18,3.4064667E-17
15078.567,5.8579322E-18,8.521401E-19,2.450003E-17
15088.746,2.8972927E-18,6.841376E-19,1.6172625E-17
15098.925,3.6471233E-18,4.814288E-19,1.2494952E-17
15109.104,3.6973245E-18,4.628514E-19,1.118807E-17
15119.282,6.8546278E-18,4.736707E-19,9.232262E-18
15129.461,2.953396E-18,4.5022707E-19,1.0094691E-17
15139.64,1.1629223E-18,3.7989697E-19,9.563779E-18
15149.818,7.399457E-18,4.8114025E-19,1.24286335E-17
15159.998,6.084135E-18,5.626873E-19,1.6676307E-17
15170.177,6.752685E-19,6.510456E-19,1.8788159E-17
15180.355,6.7619897E-18,6.508975E-19,1.6384665E-17
15190.534,2.4753082E-18,5.4599023E-19,1.4635363E-17
15200.713,1.8232279E-18,5.208522E-19,1.900392E-17
15210.892,8.2043446E-18,8.43529E-19,3.267061E-17
15221.07,2.7475067E-18,8.769077E-19,4.0735836E-17
15231.249,-7.8219326E-19,1.0638675E-18,4.185913E-17
15241.428,6.8829736E-18,1.0499326E-18,3.0714523E-17
15251.606,9.017926E-18,8.725655E-19,2.1849997E-17
15261.785,1.9818751E-18,7.34455E-19,2.2343234E-17
15271.964,2.8830326E-18,7.8543767E-19,2.176147E-17
15282.143,2.7375242E-20,8.898024E-19,2.1546306E-17
15292.321,-1.8870593E-18,8.945461E-19,2.2502127E-17
15302.5,-2.6602356E-18,8.659241E-19,3.5475325E-17
15312.679,8.015698E-18,1.1380781E-18,4.4449946E-17
15322.858,1.1297346E-17,1.2659075E-18,4.014446E-17
15333.037,9.299292E-18,1.045479E-18,3.1399578E-17
15343.216,3.2244263E-18,8.4717915E-19,1.828515E-17
15353.395,-1.413782E-19,5.3676763E-19,1.5170736E-17
15363.573,4.2243572E-18,6.390436E-19,1.9198915E-17
15373.752,-1.5222768E-18,7.992907E-19,2.1286181E-17
15383.931,6.4852838E-18,7.9004754E-19,2.2114603E-17
15394.109,-5.6830886E-19,9.705946E-19,2.5305065E-17
15404.288,1.0106601E-17,1.2498918E-18,2.9039406E-17
15414.467,1.7276178E-17,1.2343056E-18,3.1962054E-17
15424.6455,9.47226E-18,1.1513285E-18,2.9212568E-17
15434.824,8.029204E-18,9.33063E-19,2.1414267E-17
15445.003,7.842001E-18,7.869479E-19,1.5026247E-17
15455.182,5.975072E-18,6.6811776E-19,1.2314422E-17
15465.36,1.7370342E-18,5.948519E-19,1.1271193E-17
15475.539,-1.088645E-18,5.1152296E-19,1.4668723E-17
15485.719,4.7830433E-18,7.101025E-19,1.793148E-17
