WAVE,FLUX,ERR,SKYBACK
3336.838,1.5261096E-16,6.094775E-17,5.677522E-17
3340.9187,1.8366561E-16,6.054715E-17,8.613485E-17
3344.9993,1.487831E-16,5.951035E-17,1.5573486E-16
3349.08,1.8161265E-16,5.776095E-17,9.101628E-17
3353.161,1.7428113E-16,5.6660376E-17,1.1858514E-16
3357.2417,1.3168815E-16,5.4510117E-17,9.234836E-17
3361.3223,1.10770376E-16,5.395756E-17,1.7322344E-16
3365.403,1.1464E-16,5.1459085E-17,8.321683E-17
3369.484,1.4538917E-16,5.0463857E-17,6.6783115E-17
3373.5645,1.2956362E-16,4.9129284E-17,6.9251E-17
3377.6453,1.57938E-16,4.8650658E-17,8.6936444E-17
3381.726,9.707222E-17,4.7176188E-17,1.2982993E-16
3385.807,1.547688E-16,4.582779E-17,5.4901294E-17
3389.8875,3.085922E-17,4.3733687E-17,1.1074264E-16
3393.9683,2.2940048E-16,4.54534E-17,1.03244594E-16
3398.049,2.2109012E-16,4.3926497E-17,5.9593314E-17
3402.1296,1.3000235E-16,4.2326508E-17,1.1736044E-16
3406.2104,1.9248746E-16,4.187794E-17,7.3269673E-17
3410.2913,1.6206827E-16,4.0937132E-17,1.109379E-16
3414.372,7.5998185E-17,3.9046922E-17,1.3154293E-16
3418.4526,2.345594E-16,3.9951983E-17,7.525444E-17
3422.5334,2.6754957E-16,3.8812562E-17,8.0608155E-18
3426.6143,2.4900095E-16,3.805418E-17,3.3672696E-17
3430.695,1.9036065E-16,3.6790314E-17,6.467751E-17
3434.7756,2.742482E-16,3.7621375E-17,8.1998116E-17
3438.8564,1.9551016E-16,3.5931806E-17,9.514268E-17
3442.9373,2.4808502E-16,3.6162474E-17,1.0201297E-16
3447.0178,2.2120185E-16,3.4971674E-17,9.4992297E-17
3451.0986,2.652774E-16,3.534041E-17,1.1547685E-16
3455.1794,3.0470414E-16,3.443678E-17,4.327164E-17
3459.2603,1.8959706E-16,3.364275E-17,1.6536304E-16
3463.3408,3.074433E-16,3.4431522E-17,1.341788E-16
3467.4216,2.9426496E-16,3.394164E-17,1.5893262E-16
3471.5024,3.2694233E-16,3.3441883E-17,1.1314416E-16
3475.583,3.9066242E-16,3.3359096E-17,7.016551E-17
3479.6638,3.919566E-16,3.270407E-17,5.625849E-17
3483.7446,4.2078085E-16,3.2697546E-17,5.853725E-17
3487.8254,4.8092514E-16,3.331618E-17,8.8149865E-17
3491.906,4.066915E-16,3.1632684E-17,5.9334334E-17
3495.9868,4.6981995E-16,3.2299696E-17,8.56899E-17
3500.0676,4.4455735E-16,3.1570324E-17,8.426594E-17
3504.1484,4.5943427E-16,3.1663273E-17,1.0733924E-16
3508.229,5.065911E-16,3.1416204E-17,6.2760886E-17
3512.3098,4.16546E-16,3.006782E-17,8.3896595E-17
3516.3906,5.418837E-16,3.1112744E-17,6.816071E-17
3520.4712,5.157265E-16,3.034661E-17,5.2398454E-17
3524.552,4.623374E-16,2.964818E-17,8.7961824E-17
3528.6328,4.369163E-16,2.9661145E-17,1.5534624E-16
3532.7136,4.693879E-16,2.9190416E-17,9.587362E-17
3536.7942,4.6682596E-16,2.8603495E-17,7.5211106E-17
3540.875,4.1835902E-16,2.795891E-17,1.0257174E-16
3544.9558,4.2879558E-16,2.7851936E-17,9.8680715E-17
3549.0364,3.837672E-16,2.6866591E-17,8.387487E-17
3553.1172,4.5013586E-16,2.7513218E-17,9.388333E-17
3557.198,3.6028846E-16,2.598662E-17,9.055378E-17
3561.2788,4.3983938E-16,2.669446E-17,8.01384E-17
3565.3594,4.69249E-16,2.6352317E-17,3.4740924E-17
