WAVE,FLUX,ERR,SKYBACK
5985.6836,1.2554754E-15,1.4566267E-17,6.854443E-17
5989.896,1.2634019E-15,1.4605821E-17,6.959119E-17
5994.1084,1.2464589E-15,1.4532055E-17,7.467768E-17
5998.3213,1.2288063E-15,1.440174E-17,6.779891E-17
6002.5337,1.2509165E-15,1.4486786E-17,6.556921E-17
6006.746,1.208205E-15,1.426969E-17,6.611424E-17
6010.9585,1.2094626E-15,1.4257386E-17,6.54148E-17
6015.1714,1.1994249E-15,1.420546E-17,6.7434774E-17
6019.384,1.1999292E-15,1.41845E-17,6.5442665E-17
6023.596,1.2257753E-15,1.4302396E-17,6.518424E-17
6027.8086,1.2253043E-15,1.4277392E-17,6.317624E-17
6032.0215,1.1966895E-15,1.4108528E-17,5.939301E-17
6036.234,1.1812822E-15,1.4017403E-17,5.916666E-17
6040.4463,1.1484364E-15,1.3842749E-17,5.902716E-17
6044.6587,1.1448399E-15,1.3823768E-17,6.1933607E-17
6048.8716,1.1211305E-15,1.3693781E-17,6.1995056E-17
6053.084,1.1016489E-15,1.3582601E-17,6.184414E-17
6057.2964,1.1195864E-15,1.364999E-17,5.89485E-17
6061.509,1.1037087E-15,1.3549489E-17,5.728677E-17
6065.721,1.0788896E-15,1.34142184E-17,5.789875E-17
6069.934,1.070816E-15,1.3348266E-17,5.571379E-17
6074.1465,1.0754495E-15,1.3367093E-17,5.595045E-17
6078.359,1.0482145E-15,1.3217031E-17,5.649078E-17
6082.5713,1.0505528E-15,1.3197933E-17,5.4355514E-17
6086.784,1.0323464E-15,1.311243E-17,5.6630095E-17
6090.9966,1.0211686E-15,1.3041548E-17,5.648478E-17
6095.209,9.992765E-16,1.2923083E-17,5.825209E-17
6099.4214,9.961246E-16,1.2882209E-17,5.5904565E-17
6103.6343,9.590606E-16,1.2696269E-17,5.920842E-17
6107.8467,9.73998E-16,1.2747968E-17,5.5574196E-17
6112.059,9.606766E-16,1.2663004E-17,5.514886E-17
6116.2715,9.588101E-16,1.2649018E-17,5.5457444E-17
6120.4844,9.458883E-16,1.2579581E-17,5.735231E-17
6124.697,9.362532E-16,1.2512662E-17,5.622842E-17
6128.909,9.274245E-16,1.24829305E-17,6.131528E-17
6133.1216,9.177997E-16,1.2425123E-17,6.265956E-17
6137.3345,9.142661E-16,1.2398299E-17,6.2137205E-17
6141.547,9.316466E-16,1.2481457E-17,6.114689E-17
6145.7593,9.261374E-16,1.23977284E-17,5.166522E-17
6149.9717,9.107128E-16,1.23201935E-17,5.5874555E-17
6154.1846,9.202442E-16,1.23624045E-17,5.4375594E-17
6158.397,8.96837E-16,1.2259072E-17,6.1673964E-17
6162.6094,8.917377E-16,1.2214006E-17,6.0194535E-17
6166.822,8.7570724E-16,1.2144803E-17,6.537845E-17
6171.0347,8.980656E-16,1.2247001E-17,6.288192E-17
6175.247,9.193675E-16,1.23166565E-17,5.489951E-17
6179.4595,9.231703E-16,1.2303742E-17,5.0767555E-17
6183.672,9.06956E-16,1.2217164E-17,5.1357414E-17
6187.8843,8.935447E-16,1.2167098E-17,5.79232E-17
6192.097,8.889469E-16,1.2141178E-17,5.9354755E-17
6196.3096,8.974802E-16,1.2186947E-17,6.052949E-17
6200.522,8.800247E-16,1.2085088E-17,6.089909E-17
6204.7344,8.7355196E-16,1.2012644E-17,5.6468735E-17
6208.9473,8.5979885E-16,1.1948503E-17,5.945579E-17
6213.1597,8.5144885E-16,1.18857375E-17,5.889012E-17
6217.372,8.522517E-16,1.1908291E-17,6.379012E-17
6221.5845,8.552528E-16,1.1972378E-17,7.370548E-17
6225.7974,8.3911917E-16,1.1963757E-17,9.1650785E-17
6230.01,8.552657E-16,1.2059599E-17,9.4244E-17
6234.222,8.5240515E-16,1.2027388E-17,9.3469444E-17
6238.4346,8.2365277E-16,1.17883875E-17,7.906661E-17
6242.6475,8.519361E-16,1.1888594E-17,6.894905E-17
6246.86,8.5250076E-16,1.19370385E-17,7.9457315E-17
6251.0723,8.401022E-16,1.1921331E-17,9.151589E-17
6255.2847,8.7733396E-16,1.211984E-17,9.205811E-17
6259.4976,8.691232E-16,1.2013593E-17,8.210903E-17
6263.71,8.72802E-16,1.1957161E-17,7.048225E-17
6267.9224,8.93662E-16,1.2027972E-17,6.6368294E-17
6272.135,8.883685E-16,1.1976385E-17,6.785311E-17
6276.3477,8.910239E-16,1.2022833E-17,7.857883E-17
6280.56,8.8010466E-16,1.195713E-17,8.1294146E-17
6284.7725,8.833907E-16,1.20883455E-17,1.0483168E-16
6288.985,8.957554E-16,1.23488255E-17,1.4647782E-16
6293.1973,8.788156E-16,1.2329243E-17,1.6150214E-16
6297.41,8.7461245E-16,1.2352574E-17,1.7101189E-16
6301.6226,8.5083983E-16,1.20107105E-17,1.260962E-16
6305.835,8.295474E-16,1.1685121E-17,8.259792E-17
6310.0474,8.166096E-16,1.1534754E-17,6.728991E-17
6314.2603,7.884466E-16,1.1388428E-17,6.94341E-17
6318.4727,7.6967586E-16,1.1322896E-17,7.8822934E-17
6322.685,7.4670274E-16,1.1200612E-17,8.1711766E-17
6326.8975,7.2712125E-16,1.1079138E-17,7.9389725E-17
6331.1104,7.2687704E-16,1.0996835E-17,6.5549795E-17
6335.3228,7.0086174E-16,1.07938864E-17,5.855603E-17
6339.535,6.801502E-16,1.0750619E-17,7.485171E-17
6343.7476,6.9870387E-16,1.0849948E-17,7.327007E-17
6347.9604,6.869596E-16,1.0756885E-17,7.440982E-17
6352.173,7.0100547E-16,1.0904245E-17,8.787314E-17
6356.3853,6.8513033E-16,1.08307224E-17,9.274109E-17
6360.5977,6.7468917E-16,1.07078605E-17,8.269922E-17
6364.8105,6.890532E-16,1.0711715E-17,6.832137E-17
6369.023,6.8510666E-16,1.0630843E-17,5.947839E-17
6373.2354,7.1012744E-16,1.0780101E-17,6.0466274E-17
6377.4478,6.9005413E-16,1.0660578E-17,6.187883E-17
6381.6606,7.1190043E-16,1.0758915E-17,5.8036256E-17
6385.873,6.818147E-16,1.05858935E-17,5.991074E-17
6390.0854,6.994078E-16,1.0656515E-17,5.5126092E-17
6394.298,7.0563424E-16,1.0668962E-17,5.3636452E-17
6398.5103,6.9855755E-16,1.0634194E-17,5.466445E-17
6402.723,7.1133086E-16,1.0689725E-17,5.2337537E-17
6406.9355,7.2428E-16,1.0755894E-17,5.1723706E-17
6411.148,7.084105E-16,1.0688728E-17,5.726238E-17
6415.3604,7.2886497E-16,1.0759833E-17,5.0304595E-17
6419.573,7.2133506E-16,1.07112155E-17,5.0765993E-17
6423.7856,7.258371E-16,1.0727437E-17,5.046489E-17
6427.998,7.228012E-16,1.06903234E-17,4.799766E-17
6432.2104,7.3054167E-16,1.0762328E-17,5.3366083E-17
6436.4233,7.283389E-16,1.0718641E-17,4.963267E-17
6440.6357,7.2885565E-16,1.07205966E-17,4.9832255E-17
6444.848,7.4196725E-16,1.080123E-17,5.2586763E-17
6449.0605,7.569838E-16,1.0902156E-17,5.724876E-17
6453.2734,7.514E-16,1.09200935E-17,6.7354366E-17
6457.486,7.646916E-16,1.1032697E-17,7.7141375E-17
6461.698,7.56305E-16,1.1015125E-17,8.493238E-17
